43448	36075	28604	15822	11538	10726	7087	5381	4585	3699	2996	2751	2526	2285	2060	1838	1622	1414	1000	615	347	180	0
44338	36803	29089	16599	12085	10900	7313	5392	4689	3780	3031	2778	2553	2320	2103	1890	1679	1473	1054	651	371	196	0
8027	7043	6206	4761	4106	3131	2483	1374	883	606	420	313	248	205	180	165	148	141	135	131	125	67	0
8153	7058	6287	5304	4564	3729	2847	2071	1587	1315	1052	871	709	599	516	499	457	389	372	362	274	207	0
8418	7315	6499	5509	4883	4013	3238	2638	2150	1869	1528	1373	1262	1183	1127	1065	1057	1033	902	691	502	394	0
10397	9094	7805	6085	5320	4107	3429	3011	2617	2263	1862	1657	1614	1576	1513	1480	1446	1403	1193	722	572	419	0
12787	10894	9193	6962	5664	4134	3563	3285	2821	2405	2001	1832	1688	1663	1610	1610	1520	1504	1112	616	452	297	0
16084	13658	11132	7493	5853	4282	3743	3512	2987	2538	2062	1868	1698	1676	1636	1598	1447	1300	666	440	253	207	0
17866	15378	12753	8194	6038	4572	3898	3610	3224	2791	2450	2230	2070	1990	1805	1570	1369	1173	523	334	184	112	0
21559	18208	14718	9252	7091	6091	4818	4243	3557	3134	2981	2720	2658	2491	2042	1365	1016	813	308	210	130	57	0
23993	20257	16367	10134	8179	6790	5171	4462	3759	3490	3410	3232	2894	2672	1803	1108	822	599	254	118	88	41	0
26215	22280	18013	10477	8534	7134	5245	4519	3951	3681	3444	3248	2846	2521	1168	981	732	488	292	132	47	23	0
27747	23975	19028	10840	8691	7393	5326	4551	4081	3502	3082	2977	2523	1868	945	852	681	534	304	161	56	21	0
29254	25440	20427	10948	8793	7585	5600	4681	4195	3283	2967	2695	2389	1788	1170	895	820	675	410	226	76	29	0
30763	26771	21520	11006	8997	8017	6253	5184	4271	3344	2951	2648	2383	1960	1500	1170	1050	850	499	264	97	39	0
32150	27994	22599	11137	9388	8517	6725	5594	4329	3504	2981	2677	2408	2094	1746	1423	1228	998	600	304	126	59	0
33465	29133	23700	11600	9705	8845	7103	6052	4369	3655	3048	2739	2449	2139	1843	1542	1289	1061	665	358	165	80	0
34919	30223	24325	12512	10147	9115	7281	6122	4427	3720	3070	2776	2501	2200	1881	1636	1377	1153	748	418	206	100	0
36122	31241	25169	13522	10870	9576	7398	6323	4481	3685	3104	2773	2543	2247	1942	1708	1462	1241	828	476	244	121	0
37231	32198	25960	14708	11330	10024	7446	6440	4571	3705	3123	2783	2578	2288	2004	1783	1543	1320	902	532	268	142	0
38099	33093	26558	15513	11759	10532	7599	6469	4650	3772	3155	2812	2605	2327	2037	1844	1611	1391	970	586	303	150	0
38989	34027	27283	16123	12062	10765	7689	6500	4702	3784	3221	2839	2625	2361	2095	1898	1673	1456	1029	627	331	166	0
39744	34510	27900	16757	12891	11128	7784	6544	4760	3892	3228	2867	2649	2395	2126	1946	1728	1514	1083	664	356	181	0
7743	6834	5910	4720	4136	3342	2518	1607	1129	798	557	404	308	245	209	188	163	159	157	156	137	105	0
7983	7004	6274	5355	4711	3853	2989	2170	1731	1344	1119	958	852	775	684	556	495	465	407	395	282	235	0
8478	7421	6632	5627	5080	4057	3317	2754	2270	1988	1704	1399	1316	1229	1188	1122	1116	1109	940	711	523	417	0
10280	8983	7804	6235	5491	4193	3498	3165	2835	2537	2243	2028	1826	1647	1611	1545	1503	1464	1255	749	592	449	0
12694	10885	9073	7008	5780	4281	3671	3339	3157	2811	2462	2253	1933	1711	1651	1630	1534	1506	1177	676	476	300	0
15186	12992	10624	7610	5957	4356	3855	3630	3442	2994	2680	2379	1982	1740	1699	1615	1469	1307	684	503	274	209	0
17460	14778	12051	8057	6145	4629	4062	3870	3684	3304	3109	2885	2613	2251	1927	1599	1399	1179	540	362	186	119	0
20438	17191	13972	9365	7340	6298	5248	4711	4048	3594	3491	3278	3149	2774	2123	1382	1056	833	310	215	134	65	0
22719	19293	15591	10327	8310	7309	5675	5017	4215	3772	3693	3578	3169	2795	1850	1115	832	603	260	132	89	43	0
25104	20961	17081	10751	8703	7675	5987	5151	4435	3863	3759	3478	3017	2647	1176	1009	780	492	296	145	48	24	0
26621	22486	18273	11002	8920	8034	6194	5168	4595	3955	3690	3216	2761	1905	948	862	698	560	306	163	58	22	0
